,labels,count,top_state,state_count,first_day,last_day,#_days,year_50%,month_50%,diff_year,diff_month,latitude_mean,latitude_50%,diff_latitude,longitude_mean,longitude_50%,diff_longitude,brightness_mean,brightness_50%,brightness_std,diff_brightness,frp_mean,frp_50%,frp_std,diff_frp,nearest_aq_monitor,SITE_LATITUDE,SITE_LONGITUDE,geometry,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,cluster
14,105,105,CO,1,2002-06-10,2002-07-01,21,2002,6,0.0,1.0,37.39576761904762,37.3923,0.1597000000000008,-107.69687142857148,-107.7139,0.3722999999999956,348.3780952380951,340.1,30.26954226024385,134.0,178.76952380952383,107.1,202.23288418772665,896.0,"(37.2676844009095, -107.8745892)",37.2676844009095,-107.8745892,POINT (-107.8745892 37.2676844009095),20.1,68,1
15,116,13,WY,1,2002-06-29,2002-07-01,3,2002,6,0.0,1.0,44.68332307692309,44.6854,0.0330000000000012,-105.50280769230768,-105.5092,0.0742999999999938,344.40769230769234,349.9,15.846212036238692,45.19999999999999,150.0846153846154,102.6,175.47296014939093,550.4,"(44.6522000009432, -105.2903)",44.6522000009432,-105.2903,POINT (-105.2903 44.6522000009432),4.9,20,0
16,119,18,WY,1,2002-06-30,2002-07-01,2,2002,6,0.0,1.0,44.850816666666674,44.8503,0.0335000000000036,-105.46791666666664,-105.46995,0.0653999999999968,344.2944444444444,345.0,19.51197135462715,71.89999999999998,83.37777777777775,66.19999999999999,47.03112305641565,176.20000000000002,"(44.6522000009432, -105.2903)",44.6522000009432,-105.2903,POINT (-105.2903 44.6522000009432),4.9,20,0
17,121,31,WY,1,2002-07-01,2002-07-13,12,2002,7,0.0,0.0,42.94860967741936,42.9475,0.0666000000000011,-109.0798870967742,-109.0884,0.1284999999999883,355.3225806451613,352.4,31.524749110050237,121.10000000000002,184.03870967741932,135.3,201.5992140815028,605.8,"(42.8421683785244, -108.736281332747)",42.8421683785244,-108.736281332747,POINT (-108.736281332747 42.8421683785244),5.8,24,0
18,142,10,OR,1,2002-07-13,2002-07-13,1,2002,7,0.0,0.0,42.58721,42.58675,0.0253000000000014,-120.43846,-120.4372,0.0369000000000028,387.41,390.2,21.88441606867012,73.5,216.14,206.55,145.070666305157,485.6,"(42.220159862, -120.433294016)",42.220159862,-120.433294016,POINT (-120.433294016 42.220159862),8.7,36,0
19,148,23,OR,1,2002-07-14,2002-07-18,5,2002,7,0.0,0.0,42.21050869565217,42.2115,0.0294000000000025,-122.99718260869562,-122.9952,0.0790999999999968,347.1434782608696,342.1,29.36539128861723,119.7,107.66521739130437,66.8,136.5688990573012,579.9,"(42.31411, -122.87923)",42.31411,-122.87923,POINT (-122.87923 42.31411),15.4,58,0
20,170,17,OR,1,2002-07-25,2002-07-25,1,2002,7,0.0,0.0,42.54164117647059,42.5421,0.0349999999999965,-121.52433529411763,-121.5241,0.0411000000000001,368.3352941176471,360.8,23.844861636641724,72.69999999999999,128.35882352941175,87.4,97.46532113284916,298.5,"(42.190296, -121.731369)",42.190296,-121.731369,POINT (-121.731369 42.190296),81.3,164,0
21,187,8,CO,1,2002-08-18,2002-08-18,1,2002,8,0.0,0.0,40.298875,40.29815,0.0179000000000044,-106.6424,-106.6451,0.049599999999998,330.025,327.4,10.201085376426514,30.0,33.987500000000004,29.05,14.950913732229592,44.49999999999999,"(40.4852010009318, -106.831625)",40.4852010009318,-106.831625,POINT (-106.831625 40.4852010009318),15.5,58,0
22,193,14,UT,1,2002-08-26,2002-08-27,1,2002,8,0.0,0.0,38.385842857142855,38.38545,0.0300999999999973,-112.28252857142856,-112.28525,0.0497000000000014,345.5285714285714,341.45000000000005,19.99066815258593,61.39999999999998,171.5071428571429,122.05,139.69140970387173,392.3,"(37.6183832890889, -112.174367903929)",37.6183832890889,-112.174367903929,POINT (-112.174367903929 37.6183832890889),5.0,21,0
23,224,6,NM,1,2003-04-22,2003-05-03,11,2003,4,0.0,1.0,33.43648333333333,33.430899999999994,0.0437999999999974,-107.91308333333332,-107.9132,0.0254000000000047,377.88333333333327,370.65,16.008050058225912,35.0,161.81666666666663,116.15,81.6991901224649,171.39999999999998,"(33.2205021725552, -108.235718592279)",33.2205021725552,-108.235718592279,POINT (-108.235718592279 33.2205021725552),3.6,15,0
24,227,6,WA,1,2003-05-24,2003-05-27,3,2003,5,0.0,0.0,48.32605,48.307,0.0668999999999968,-118.5458,-118.5366,0.070699999999988,383.1333333333334,368.85,36.859444741703136,91.0,297.79999999999995,169.35,299.39000651324346,765.5999999999999,"(48.544448, -117.903425)",48.544448,-117.903425,POINT (-117.903425 48.544448),7.7,32,0
25,230,14,UT,1,2003-06-04,2003-06-11,8,2003,6,0.0,0.0,38.11291428571429,38.114900000000006,0.0374999999999943,-110.77845714285716,-110.77705,0.0264000000000095,376.6071428571428,372.85,22.559680312987066,88.80000000000001,250.7428571428572,166.75,185.33167239090244,553.5,"(38.3021770831078, -111.293349451309)",38.3021770831078,-111.293349451309,POINT (-111.293349451309 38.3021770831078),3.1,13,0
26,231,6,CA,1,2003-06-05,2003-06-11,7,2003,6,0.0,0.0,33.32320000000001,33.32285,0.0227999999999966,-116.66106666666668,-116.66425,0.0281999999999982,370.8,367.9500000000001,14.467204291085396,34.39999999999998,259.3,165.60000000000002,215.48121959929597,479.3,"(33.4636438345227, -116.971457297006)",33.4636438345227,-116.971457297006,POINT (-116.971457297006 33.4636438345227),4.4,18,0
27,232,25,AZ,1,2003-06-07,2003-06-14,8,2003,6,0.0,0.0,33.652919999999995,33.6491,0.0592000000000041,-109.217528,-109.217,0.0652999999999934,344.352,336.6,21.433387506411577,73.80000000000001,76.33200000000002,62.0,54.10772988523297,184.7,"(34.0584750370195, -109.441258534854)",34.0584750370195,-109.441258534854,POINT (-109.441258534854 34.0584750370195),4.2,18,0
28,237,24,NM,2,2003-06-11,2003-06-14,3,2003,6,0.0,0.0,31.39395833333333,31.4077,0.1031999999999975,-109.01906666666666,-109.0107,0.1404999999999887,373.15833333333336,373.3,26.655873268571508,121.60000000000002,294.6166666666667,186.35,282.51473784822144,1087.1,"(31.3492, -109.539683)",31.3492,-109.539683,POINT (-109.539683 31.3492),5.9,25,0
29,249,110,OR,1,2003-06-29,2003-07-03,4,2003,6,0.0,1.0,43.60464181818183,43.6074,0.0896000000000043,-121.78654636363632,-121.77635,0.1961000000000012,356.57363636363635,353.0,30.65316984453536,144.40000000000003,249.83181818181828,121.15,461.3342546168696,3483.7,"(43.744352, -122.480487)",43.744352,-122.480487,POINT (-122.480487 43.744352),5.0,21,0
30,277,12,UT,2,2003-07-17,2003-07-20,3,2003,7,0.0,0.0,38.55574166666667,38.554,0.0274,-109.05424999999998,-109.06055,0.0465999999999979,358.7,360.6,20.32951280550251,79.09999999999997,519.7,449.7,472.8136976942109,1651.3,"(38.45832, -109.82126)",38.45832,-109.82126,POINT (-109.82126 38.45832),5.5,23,2
31,279,9,ID,1,2003-07-09,2003-08-07,30,2003,7,0.0,1.0,42.68095555555556,42.68,0.0111999999999952,-111.59165555555556,-111.5927,0.0157999999999987,324.8888888888889,319.4,11.272027817172525,34.60000000000002,52.75555555555555,36.3,40.75932749417951,133.2,"(42.661298, -111.591443)",42.661298,-111.591443,POINT (-111.591443 42.661298),4.2,18,1
32,283,11,CO,1,2003-07-20,2003-07-20,1,2003,7,0.0,0.0,38.00388181818182,38.0033,0.0195000000000007,-108.45664545454544,-108.4576,0.0330000000000012,426.24545454545455,413.8,48.27043326170512,136.5,1028.7727272727277,1212.1,659.376949992808,1758.0,"(37.9378720009151, -107.813061)",37.9378720009151,-107.813061,POINT (-107.813061 37.9378720009151),1.1,5,2
33,288,10,OR,1,2003-07-21,2003-07-23,3,2003,7,0.0,0.0,44.00282,44.0025,0.0200999999999993,-122.56094,-122.56195,0.031800000000004,341.51,336.6,23.2064382828942,69.5,97.16,81.05000000000001,58.68488732203548,154.0,"(43.744352, -122.480487)",43.744352,-122.480487,POINT (-122.480487 43.744352),12.6,52,0
34,302,17,OR,1,2003-07-28,2003-07-31,4,2003,7,0.0,0.0,43.35895882352941,43.3585,0.0168999999999996,-122.17585882352944,-122.1775,0.0449999999999874,369.6470588235293,368.1,46.77699912412962,138.3,206.82352941176472,104.6,229.46832441922064,790.8,"(43.744352, -122.480487)",43.744352,-122.480487,POINT (-122.480487 43.744352),9.4,39,0
35,303,19,WA,1,2003-07-29,2003-07-29,1,2003,7,0.0,0.0,47.571373684210535,47.5659,0.0671000000000034,-118.53031578947368,-118.5336,0.0581999999999993,336.7947368421053,333.1,16.55735733356459,65.40000000000003,197.07368421052632,158.5,179.23357151464327,790.0,"(47.12, -118.3819)",47.12,-118.3819,POINT (-118.3819 47.12),8.9,37,0
36,304,7,ID,1,2003-07-31,2003-08-01,1,2003,8,0.0,1.0,45.09345714285714,45.0912,0.0305999999999997,-115.82577142857144,-115.8265,0.0259000000000071,359.0428571428571,360.4,20.96877497159821,66.0,149.79999999999998,104.4,116.03413290924355,313.9,"(44.899212817, -116.094872678)",44.899212817,-116.094872678,POINT (-116.094872678 44.899212817),8.4,35,0
37,317,29,ID,1,2003-08-10,2003-08-19,9,2003,8,0.0,0.0,45.1475448275862,45.1485,0.0360999999999975,-115.2677103448276,-115.2686,0.0558000000000049,357.84827586206904,352.5,39.1050838920836,175.89999999999998,207.55172413793107,122.5,291.9640738915488,1497.5,"(44.899212817, -116.094872678)",44.899212817,-116.094872678,POINT (-116.094872678 44.899212817),11.0,46,0
38,326,66,MT,1,2003-08-10,2003-08-19,9,2003,8,0.0,0.0,47.43466969696969,47.43735,0.0525000000000019,-113.78578030303032,-113.79125,0.1210999999999984,347.3909090909091,346.05,21.10257532422726,98.09999999999997,152.76818181818177,84.4,161.32844106079034,734.0,"(47.526878332, -114.1015017)",47.526878332,-114.1015017,POINT (-114.1015017 47.526878332),30.7,90,0
39,330,11,WA,1,2003-08-11,2003-08-13,2,2003,8,0.0,0.0,48.87960909090909,48.8796,0.0248999999999952,-117.6758363636364,-117.6753,0.051400000000001,343.09090909090907,339.4,19.228596128966597,55.099999999999966,105.48181818181816,69.9,71.60523469945223,203.5,"(48.544722, -117.903611)",48.544722,-117.903611,POINT (-117.903611 48.544722),5.9,25,0
40,340,14,MT,1,2003-08-14,2003-08-16,3,2003,8,0.0,0.0,45.81381428571429,45.8147,0.0531999999999968,-106.17524285714283,-106.17075,0.091700000000003,354.7857142857142,336.65,35.863091315185294,105.3,233.1857142857143,36.8,396.7083580146521,1347.6,"(45.648328214, -106.55724716)",45.648328214,-106.55724716,POINT (-106.55724716 45.648328214),23.6,75,0
41,346,15,WA,1,2003-08-15,2003-08-21,7,2003,8,0.0,0.0,48.96514,48.9701,0.0662999999999982,-118.39622666666668,-118.3962,0.0583999999999917,337.74666666666667,327.9,24.96053647164622,77.60000000000002,101.18000000000004,84.1,88.8265179195621,281.1,"(48.544722, -117.903611)",48.544722,-117.903611,POINT (-117.903611 48.544722),25.2,79,0
42,350,12,CA,1,2003-08-18,2003-08-19,1,2003,8,0.0,0.0,33.976350000000004,33.97645,0.0335999999999998,-117.168725,-117.1693,0.0459000000000031,379.2000000000001,365.85,25.74211264904968,85.10000000000002,406.1333333333334,278.8,353.3901123618932,1117.8,"(34.1066780008763, -117.274063)",34.1066780008763,-117.274063,POINT (-117.274063 34.1066780008763),16.5,60,0
43,357,24,MT,1,2003-08-20,2003-08-22,2,2003,8,0.0,0.0,47.80903750000001,47.8077,0.0294999999999987,-113.31619166666664,-113.31625,0.089500000000001,346.0208333333333,342.15,21.96190336185283,73.69999999999999,98.0958333333333,67.15,104.51337538352674,516.3,"(47.69216063, -114.163171686)",47.69216063,-114.163171686,POINT (-114.163171686 47.69216063),54.6,148,0
44,364,25,MT,1,2003-08-22,2003-09-06,16,2003,9,0.0,1.0,48.006000000000014,48.0055,0.0701999999999998,-113.700024,-113.6975,0.092100000000002,337.75999999999993,330.6,19.02207051471176,66.39999999999998,72.884,50.6,67.14585293721919,272.6,"(47.69216063, -114.163171686)",47.69216063,-114.163171686,POINT (-114.163171686 47.69216063),17.2,62,0
45,364,25,MT,1,2003-08-22,2003-09-06,16,2003,9,0.0,1.0,48.006000000000014,48.0055,0.0701999999999998,-113.700024,-113.6975,0.092100000000002,337.75999999999993,330.6,19.02207051471176,66.39999999999998,72.884,50.6,67.14585293721919,272.6,"(47.69216063, -114.163171686)",47.69216063,-114.163171686,POINT (-114.163171686 47.69216063),17.5,62,0
46,369,9,MT,1,2003-09-01,2003-09-06,5,2003,9,0.0,0.0,47.80508888888889,47.7952,0.060299999999998,-113.3369,-113.3622,0.1064999999999969,333.3888888888889,327.7,14.379711788179591,39.69999999999999,67.91111111111111,33.5,69.59796053844617,178.9,"(47.69216063, -114.163171686)",47.69216063,-114.163171686,POINT (-114.163171686 47.69216063),17.2,62,0
47,369,9,MT,1,2003-09-01,2003-09-06,5,2003,9,0.0,0.0,47.80508888888889,47.7952,0.060299999999998,-113.3369,-113.3622,0.1064999999999969,333.3888888888889,327.7,14.379711788179591,39.69999999999999,67.91111111111111,33.5,69.59796053844617,178.9,"(47.69216063, -114.163171686)",47.69216063,-114.163171686,POINT (-114.163171686 47.69216063),17.5,62,0
48,371,45,ID,1,2003-09-03,2003-09-06,3,2003,9,0.0,0.0,48.719437777777785,48.7214,0.031800000000004,-116.45887333333336,-116.4561,0.078099999999992,363.7333333333333,357.4,30.27480951069868,104.0,255.5644444444445,155.3,234.49820909914652,945.7,"(48.70548637, -116.37000144)",48.70548637,-116.37000144,POINT (-116.37000144 48.70548637),19.7,67,0
49,395,32,CA,1,2003-10-02,2003-10-27,26,2003,10,0.0,0.0,36.11265312500001,36.11195,0.030700000000003,-118.2232875,-118.22585,0.0822000000000002,346.2125000000001,347.05,20.17020718942956,60.69999999999999,126.93749999999996,97.55,96.16365335097484,336.4,"(36.487823, -117.871036)",36.487823,-117.871036,POINT (-117.871036 36.487823),1.0,4,1
50,397,7,MT,1,2003-10-06,2003-10-06,1,2003,10,0.0,0.0,48.89227142857143,48.8913,0.0356999999999985,-115.9514142857143,-115.9474,0.0408000000000043,358.0142857142857,355.1,6.557293285959922,19.09999999999997,85.34285714285714,78.7,20.584529558453777,59.900000000000006,"(48.70548637, -116.37000144)",48.70548637,-116.37000144,POINT (-116.37000144 48.70548637),10.8,45,0
51,407,8,MT,1,2003-10-21,2003-10-24,3,2003,10,0.0,0.0,47.7189,47.75555,0.1424999999999983,-115.11665,-115.1129,0.087600000000009,356.82500000000005,353.04999999999995,10.537924707591026,31.100000000000023,201.0125,97.55,204.8081432358447,487.6,"(47.594395, -115.323746)",47.594395,-115.323746,POINT (-115.323746 47.594395),5.1,21,0
52,409,552,CA,1,2003-10-24,2003-10-30,7,2003,10,0.0,0.0,34.40517644927539,34.3866,0.284799999999997,-118.7872652173914,-118.80495,0.5668000000000006,366.521014492754,360.35,35.184482850422775,182.8,336.1599637681158,180.75,437.1553579848709,3619.8,"(34.404281, -118.80998)",34.404281,-118.80998,POINT (-118.80998 34.404281),13.9,55,1
53,412,235,CA,1,2003-10-26,2003-10-30,5,2003,10,0.0,0.0,33.20361234042551,33.2067,0.1426000000000016,-116.91049319148944,-116.9002,0.2223999999999932,379.1089361702128,371.5,42.30629720327062,183.9,460.613191489362,191.8,578.2394706551357,2905.5,"(33.127769000864, -117.075086)",33.127769000864,-117.075086,POINT (-117.075086 33.127769000864),7.3,30,0
54,412,235,CA,1,2003-10-26,2003-10-30,5,2003,10,0.0,0.0,33.20361234042551,33.2067,0.1426000000000016,-116.91049319148944,-116.9002,0.2223999999999932,379.1089361702128,371.5,42.30629720327062,183.9,460.613191489362,191.8,578.2394706551357,2905.5,"(33.127769000864, -117.075086)",33.127769000864,-117.075086,POINT (-117.075086 33.127769000864),7.0,29,0
55,430,178,NM,1,2004-05-16,2004-06-14,30,2004,5,0.0,1.0,33.60578988764047,33.60825,0.120200000000004,-105.35481797752804,-105.34895,0.3198000000000007,359.64662921348304,355.6,33.748891840148055,140.29999999999995,315.62808988764044,134.25,526.6609725406478,2841.9,"(33.4688085496206, -105.535443914569)",33.4688085496206,-105.535443914569,POINT (-105.535443914569 33.4688085496206),7.1,30,1
56,436,22,AZ,1,2004-06-09,2004-06-11,3,2004,6,0.0,0.0,33.868559090909095,33.865300000000005,0.0416999999999987,-109.32021363636362,-109.3189,0.0902999999999991,372.1090909090909,365.4,28.2079169753206,118.09999999999997,179.72727272727272,112.35,200.77867981535852,895.4,"(34.0584750370195, -109.441258534854)",34.0584750370195,-109.441258534854,POINT (-109.441258534854 34.0584750370195),3.7,15,0
57,439,6,NM,1,2004-06-15,2004-06-17,2,2004,6,0.0,0.0,34.23178333333333,34.2299,0.0499000000000009,-106.16666666666669,-106.16675,0.0592000000000041,379.0833333333333,371.7000000000001,25.033690632159423,59.19999999999999,596.55,385.25,539.3112672659454,1284.8,"(33.8695926935384, -106.85258406248)",33.8695926935384,-106.85258406248,POINT (-106.85258406248 33.8695926935384),4.3,18,2
58,441,9,CA,1,2004-06-25,2004-06-26,1,2004,6,0.0,0.0,36.15641111111111,36.1538,0.0150999999999967,-118.1367111111111,-118.138,0.0186000000000063,332.83333333333326,326.7,17.500999971430197,47.89999999999998,78.55555555555556,39.4,57.84859788947159,154.7,"(36.487823, -117.871036)",36.487823,-117.871036,POINT (-117.871036 36.487823),6.0,25,0
59,445,121,AZ,1,2004-06-27,2004-07-08,11,2004,7,0.0,1.0,32.70291157024795,32.6992,0.1167999999999978,-109.868211570248,-109.8492,0.2031000000000062,355.8561983471077,351.3,32.418088810009515,149.2,211.9413223140495,84.7,324.09540227876863,1623.2,"(32.00941, -109.38906)",32.00941,-109.38906,POINT (-109.38906 32.00941),5.8,24,0
60,451,50,CA,1,2004-07-13,2004-07-23,11,2004,7,0.0,0.0,37.675912,37.67465,0.0485000000000042,-119.552094,-119.55395,0.0668000000000006,361.664,357.2,38.43353531402873,182.6,194.094,84.0,287.010074067665,1616.7,"(37.748707, -119.587094)",37.748707,-119.587094,POINT (-119.587094 37.748707),81.6,164,0
61,452,19,CA,1,2004-07-13,2004-07-14,2,2004,7,0.0,0.0,33.20736315789474,33.2056,0.0441999999999964,-116.65907368421054,-116.6593,0.0914999999999963,382.52631578947376,383.1,34.8709022619347,139.79999999999995,432.6157894736842,218.4,543.0037796708621,2125.9,"(33.127769000864, -117.075086)",33.127769000864,-117.075086,POINT (-117.075086 33.127769000864),12.4,52,0
62,452,19,CA,1,2004-07-13,2004-07-14,2,2004,7,0.0,0.0,33.20736315789474,33.2056,0.0441999999999964,-116.65907368421054,-116.6593,0.0914999999999963,382.52631578947376,383.1,34.8709022619347,139.79999999999995,432.6157894736842,218.4,543.0037796708621,2125.9,"(33.127769000864, -117.075086)",33.127769000864,-117.075086,POINT (-117.075086 33.127769000864),14.0,55,0
63,458,23,CA,1,2004-07-23,2004-07-26,3,2004,7,0.0,0.0,40.82552173913045,40.8283,0.0553000000000025,-121.07374782608694,-121.0718,0.0848000000000013,343.40434782608696,342.6,17.526537755406792,56.89999999999998,125.02173913043475,59.3,155.07429878059256,547.1,"(40.53999, -121.57646)",40.53999,-121.57646,POINT (-121.57646 40.53999),3.3,14,0
64,462,12,NV,1,2004-07-30,2004-08-01,3,2004,8,0.0,1.0,38.316750000000006,38.3192,0.027000000000001,-115.52184166666666,-115.5211,0.0390000000000014,334.68333333333334,331.6,15.143365383940102,43.60000000000002,82.14166666666668,48.45,61.102975055279096,174.5,"(39.00512, -114.21593)",39.00512,-114.21593,POINT (-114.21593 39.00512),2.9,12,0
65,485,25,CA,1,2004-09-02,2004-09-09,7,2004,9,0.0,0.0,40.510280000000016,40.509,0.0354999999999989,-121.343196,-121.3417,0.042199999999994,337.30400000000003,327.7,19.13351074249923,75.90000000000003,65.40799999999999,49.5,53.4017081499584,203.4,"(40.53999, -121.57646)",40.53999,-121.57646,POINT (-121.57646 40.53999),4.3,18,0
66,486,8,AZ,1,2004-09-02,2004-09-03,1,2004,9,0.0,0.0,36.2478375,36.2482,0.0346999999999937,-112.0184625,-112.0123,0.0278999999999882,347.37499999999994,333.85,33.78874495618748,90.7,243.53750000000005,147.15,253.17961403771375,709.7,"(36.0778136892505, -112.129551389023)",36.0778136892505,-112.129551389023,POINT (-112.129551389023 36.0778136892505),6.7,28,0
67,489,11,WA,1,2004-08-31,2004-09-08,9,2004,9,0.0,1.0,46.13635454545455,46.1318,0.1005000000000038,-118.25042727272726,-118.2663,0.2283999999999935,376.0,366.2,26.60545056938522,68.60000000000002,377.47272727272735,279.0,314.073151004377,886.1,"(46.05881, -118.35147)",46.05881,-118.35147,POINT (-118.35147 46.05881),5.7,24,0
68,491,6,ID,1,2004-09-10,2004-09-10,1,2004,9,0.0,0.0,45.74481666666667,45.7443,0.0099000000000017,-115.95503333333332,-115.953,0.027000000000001,385.8166666666666,380.3,20.21924001209409,56.30000000000001,256.03333333333336,223.7,119.6080376340431,338.5,"(45.931274394, -116.116254548)",45.931274394,-116.116254548,POINT (-116.116254548 45.931274394),6.3,26,0
69,493,17,AZ,1,2004-09-13,2004-09-18,5,2004,9,0.0,0.0,36.184135294117645,36.1823,0.0780000000000029,-111.99664705882353,-111.9957,0.0284000000000048,384.24705882352936,383.7,45.593943096192326,167.40000000000003,297.1470588235294,195.6,350.2956324978358,1408.1,"(36.0778136892505, -112.129551389023)",36.0778136892505,-112.129551389023,POINT (-112.129551389023 36.0778136892505),3.4,14,0
70,494,8,AZ,1,2004-09-10,2004-10-03,23,2004,9,0.0,1.0,33.4160375,33.4164,0.0075000000000002,-110.8613875,-110.86155,0.0143999999999948,333.8625,326.9,14.087576847299593,35.10000000000002,40.8125,36.3,16.571441656398775,45.10000000000001,"(33.6547, -111.1074)",33.6547,-111.1074,POINT (-111.1074 33.6547),4.7,20,0
71,497,7,NV,1,2004-09-25,2004-09-25,1,2004,9,0.0,0.0,41.894014285714285,41.8953,0.0255000000000009,-119.7311714285714,-119.7311,0.0116000000000013,381.11428571428576,384.5,14.93903483846135,46.19999999999999,404.9285714285714,527.6,291.68430259606424,764.3,"(42.189215, -120.353969)",42.189215,-120.353969,POINT (-120.353969 42.189215),5.5,23,2
