"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/2023","AQS","040011235","1","0.9","ug/m3 LC","4","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/12/2023","AQS","040011235","1","0.6","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/19/2023","AQS","040011235","1","0.7","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/24/2023","AQS","040011235","1","2.2","ug/m3 LC","9","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/30/2023","AQS","040011235","1","2.1","ug/m3 LC","9","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/06/2023","AQS","040011235","2","0.8","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/12/2023","AQS","040011235","2","0.6","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/19/2023","AQS","040011235","2","0.6","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/24/2023","AQS","040011235","2","2","ug/m3 LC","8","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/30/2023","AQS","040011235","2","2.4","ug/m3 LC","10","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/01/2023","AirNow","040128000","3","1.5","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/02/2023","AirNow","040128000","3","1.5","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/03/2023","AirNow","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/04/2023","AirNow","040128000","3","2.2","ug/m3 LC","9","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/05/2023","AirNow","040128000","3","1.8","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/06/2023","AirNow","040128000","3","1.4","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/07/2023","AirNow","040128000","3","1","ug/m3 LC","4","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/08/2023","AirNow","040128000","3","1","ug/m3 LC","4","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/09/2023","AirNow","040128000","3","0.9","ug/m3 LC","4","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/10/2023","AirNow","040128000","3","1.6","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/11/2023","AirNow","040128000","3","1.1","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/12/2023","AirNow","040128000","3","1.7","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/13/2023","AirNow","040128000","3","0.5","ug/m3 LC","2","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/14/2023","AirNow","040128000","3","0.7","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/15/2023","AirNow","040128000","3","3.5","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/16/2023","AirNow","040128000","3","1.8","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/17/2023","AirNow","040128000","3","2","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/18/2023","AirNow","040128000","3","0.1","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/19/2023","AirNow","040128000","3","0.5","ug/m3 LC","2","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/20/2023","AirNow","040128000","3","0","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/21/2023","AirNow","040128000","3","0","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/22/2023","AirNow","040128000","3","0","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/23/2023","AirNow","040128000","3","1.6","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/24/2023","AirNow","040128000","3","1.1","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/25/2023","AirNow","040128000","3","0.7","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/26/2023","AirNow","040128000","3","1.2","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/27/2023","AirNow","040128000","3","-0.2","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/28/2023","AirNow","040128000","3","1.7","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/29/2023","AirNow","040128000","3","1.2","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/30/2023","AirNow","040128000","3","0.4","ug/m3 LC","2","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/31/2023","AirNow","040128000","3","1.6","ug/m3 LC","7","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/01/2023","AirNow","040128000","3","0.3","ug/m3 LC","1","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/02/2023","AirNow","040128000","3","-0.6","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/03/2023","AirNow","040128000","3","-0.6","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/04/2023","AirNow","040128000","3","-0.5","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/05/2023","AirNow","040128000","3","0.2","ug/m3 LC","1","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/06/2023","AirNow","040128000","3","1.5","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/07/2023","AirNow","040128000","3","-1","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/08/2023","AirNow","040128000","3","0","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/09/2023","AirNow","040128000","3","0.8","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/10/2023","AirNow","040128000","3","1.2","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/11/2023","AirNow","040128000","3","0.6","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/12/2023","AirNow","040128000","3","0.1","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/13/2023","AirNow","040128000","3","0.7","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/14/2023","AirNow","040128000","3","1.9","ug/m3 LC","8","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/15/2023","AirNow","040128000","3","1.1","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/16/2023","AirNow","040128000","3","0.6","ug/m3 LC","3","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/17/2023","AirNow","040128000","3","0","ug/m3 LC","0","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/18/2023","AirNow","040128000","3","1.5","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"02/19/2023","AirNow","040128000","3","0.5","ug/m3 LC","2","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
